Abhinav BINDRA,SHINDM2809198201,IND,10.7,10.0,10.5,10.6,10.4,10.7,10.0,10.5,10.6,10.4,10.5,10.7,10.2,10.3,10.4,10.5,10.7,10.2,10.3,10.4,10.4,9.9,10.4,10.5,10.6,10.4,9.9,10.4,10.5,10.6,10.7,10.5,10.0,10.0,9.9,10.7,10.5,10.0,10.0,9.9,10.5,10.2,10.6,10.0,10.8,10.5,10.2,10.6,10.0,10.8,10.1,10.7,10.0,10.7,10.4,10.1,10.7,10.0,10.7,10.4
Leonardo MOREIRA,SHBRAM1306197801,BRA,10.4,10.0,10.5,9.3,10.5,10.4,10.0,10.5,9.3,10.5,9.7,10.1,10.5,9.4,9.7,9.7,10.1,10.5,9.4,9.7,10.8,10.1,10.4,9.9,10.6,10.8,10.1,10.4,9.9,10.6,10.8,10.6,9.7,10.6,10.0,10.8,10.6,9.7,10.6,10.0,9.7,10.2,9.7,9.2,10.7,9.7,10.2,9.7,9.2,10.7,10.1,10.3,10.0,10.2,9.4,10.1,10.3,10.0,10.2,9.4
Chun An CHEN,SHTPEM1801199301,TPE,10.5,10.7,10.5,10.5,10.0,10.5,10.7,10.5,10.5,10.0,10.3,10.7,10.6,10.6,10.3,10.3,10.7,10.6,10.6,10.3,10.2,10.6,10.3,10.7,10.5,10.2,10.6,10.3,10.7,10.5,10.3,10.1,10.5,10.4,10.4,10.3,10.1,10.5,10.4,10.4,10.7,10.3,10.5,10.3,10.2,10.7,10.3,10.5,10.3,10.2,10.2,9.5,10.4,10.4,10.3,10.2,9.5,10.4,10.4,10.3
Niccolo CAMPRIANI,SHITAM0611198701,ITA,10.4,10.8,10.7,10.4,10.2,10.4,10.8,10.7,10.4,10.2,10.9,10.3,10.3,10.0,10.0,10.9,10.3,10.3,10.0,10.0,10.0,10.7,10.5,10.8,10.6,10.0,10.7,10.5,10.8,10.6,10.8,10.5,10.6,10.3,10.3,10.8,10.5,10.6,10.3,10.3,10.3,10.5,10.9,10.7,10.4,10.3,10.5,10.9,10.7,10.4,9.9,10.4,10.4,10.7,10.5,9.9,10.4,10.4,10.7,10.5
Brian BAUDOUIN,SHFRAM1006199401,FRA,10.4,9.9,10.2,10.4,10.4,10.4,9.9,10.2,10.4,10.4,10.2,10.5,10.3,10.9,10.6,10.2,10.5,10.3,10.9,10.6,10.4,10.3,10.7,10.3,10.5,10.4,10.3,10.7,10.3,10.5,10.7,10.7,10.6,10.6,10.5,10.7,10.7,10.6,10.6,10.5,10.6,10.6,10.7,10.5,10.1,10.6,10.6,10.7,10.5,10.1,10.6,10.6,10.3,10.8,10.3,10.6,10.6,10.3,10.8,10.3
Bruno Lion HECK,SHBRAM1508198601,BRA,10.1,10.5,10.6,10.1,10.0,10.1,10.5,10.6,10.1,10.0,10.5,8.8,10.5,10.3,10.7,10.5,8.8,10.5,10.3,10.7,9.5,10.7,10.3,9.9,10.3,9.5,10.7,10.3,9.9,10.3,10.1,10.1,10.6,10.8,10.8,10.1,10.1,10.6,10.8,10.8,10.3,9.6,10.1,10.5,10.5,10.3,9.6,10.1,10.5,10.5,10.6,10.4,10.0,10.9,10.6,10.6,10.4,10.0,10.9,10.6
Simon WEITHALER,SHITAM0101199301,ITA,10.2,10.1,10.5,10.2,10.4,10.2,10.1,10.5,10.2,10.4,10.1,10.0,10.7,10.2,10.2,10.1,10.0,10.7,10.2,10.2,10.1,10.2,10.5,10.3,10.2,10.1,10.2,10.5,10.3,10.2,10.4,10.3,10.6,9.9,10.6,10.4,10.3,10.6,9.9,10.6,9.4,10.0,10.1,10.6,10.2,9.4,10.0,10.1,10.6,10.2,10.7,10.7,10.1,9.8,10.5,10.7,10.7,10.1,9.8,10.5
Oyvind FLATLA,SHNORM3107199101,NOR,9.7,10.4,10.2,10.3,10.1,9.7,10.4,10.2,10.3,10.1,10.4,10.4,10.4,10.3,10.9,10.4,10.4,10.4,10.3,10.9,10.3,10.1,10.6,10.0,10.4,10.3,10.1,10.6,10.0,10.4,10.6,10.6,10.3,10.3,10.5,10.6,10.6,10.3,10.3,10.5,10.5,10.6,10.3,10.3,10.7,10.5,10.6,10.3,10.3,10.7,10.7,10.7,10.5,10.1,10.4,10.7,10.7,10.5,10.1,10.4
Toshikazu YAMASHITA,SHJPNM2102197701,JPN,9.8,10.6,10.4,10.1,9.8,9.8,10.6,10.4,10.1,9.8,10.2,10.5,10.2,9.8,10.5,10.2,10.5,10.2,9.8,10.5,10.9,10.7,10.6,10.6,10.8,10.9,10.7,10.6,10.6,10.8,10.6,10.4,10.3,10.6,9.8,10.6,10.4,10.3,10.6,9.8,10.4,10.3,10.8,10.3,9.9,10.4,10.3,10.8,10.3,9.9,10.6,9.9,10.4,10.8,10.3,10.6,9.9,10.4,10.8,10.3
Nazar LOUGINETS,SHRUSM3105198901,RUS,10.3,10.6,10.6,10.8,10.8,10.3,10.6,10.6,10.8,10.8,10.8,10.5,10.5,10.6,10.1,10.8,10.5,10.5,10.6,10.1,10.3,10.7,10.6,10.8,10.5,10.3,10.7,10.6,10.8,10.5,10.6,10.6,10.7,10.7,10.7,10.6,10.6,10.7,10.7,10.7,10.6,10.7,10.3,10.4,10.2,10.6,10.7,10.3,10.4,10.2,10.9,10.5,10.5,10.7,10.1,10.9,10.5,10.5,10.7,10.1
